number_of_features,estimators,accuracy_score,confusion_matriks
71,30 Trees,0.988976377952756,"[[261   0   0]
 [  6 278   0]
 [  1   0  89]]"
72,30 Trees,0.9874015748031496,"[[259   2   0]
 [  4 279   1]
 [  0   1  89]]"
73,30 Trees,0.988976377952756,"[[259   2   0]
 [  5 279   0]
 [  0   0  90]]"
74,30 Trees,0.9874015748031496,"[[258   3   0]
 [  5 279   0]
 [  0   0  90]]"
75,30 Trees,0.9921259842519685,"[[261   0   0]
 [  5 279   0]
 [  0   0  90]]"
76,30 Trees,0.9811023622047244,"[[260   1   0]
 [  9 274   1]
 [  0   1  89]]"
77,30 Trees,0.988976377952756,"[[260   1   0]
 [  4 280   0]
 [  1   1  88]]"
78,30 Trees,0.9874015748031496,"[[260   1   0]
 [  5 279   0]
 [  1   1  88]]"
79,30 Trees,0.9905511811023622,"[[260   1   0]
 [  4 279   1]
 [  0   0  90]]"
80,30 Trees,0.9905511811023622,"[[260   1   0]
 [  4 279   1]
 [  0   0  90]]"
81,30 Trees,0.9905511811023622,"[[259   2   0]
 [  4 280   0]
 [  0   0  90]]"
82,30 Trees,0.9921259842519685,"[[260   1   0]
 [  4 280   0]
 [  0   0  90]]"
83,30 Trees,0.9874015748031496,"[[259   2   0]
 [  5 279   0]
 [  0   1  89]]"
84,30 Trees,0.988976377952756,"[[260   1   0]
 [  4 280   0]
 [  1   1  88]]"
85,30 Trees,0.9905511811023622,"[[258   3   0]
 [  3 281   0]
 [  0   0  90]]"
86,30 Trees,0.9905511811023622,"[[260   1   0]
 [  5 279   0]
 [  0   0  90]]"
87,30 Trees,0.988976377952756,"[[260   1   0]
 [  5 278   1]
 [  0   0  90]]"
88,30 Trees,0.9905511811023622,"[[260   1   0]
 [  4 280   0]
 [  0   1  89]]"
89,30 Trees,0.9858267716535433,"[[260   1   0]
 [  8 276   0]
 [  0   0  90]]"
90,30 Trees,0.9858267716535433,"[[261   0   0]
 [  8 276   0]
 [  1   0  89]]"
91,30 Trees,0.9874015748031496,"[[260   1   0]
 [  7 277   0]
 [  0   0  90]]"
92,30 Trees,0.9937007874015747,"[[260   1   0]
 [  3 281   0]
 [  0   0  90]]"
93,30 Trees,0.988976377952756,"[[259   2   0]
 [  5 279   0]
 [  0   0  90]]"
94,30 Trees,0.9921259842519685,"[[259   2   0]
 [  3 281   0]
 [  0   0  90]]"
95,30 Trees,0.9858267716535433,"[[259   2   0]
 [  7 277   0]
 [  0   0  90]]"
96,30 Trees,0.9905511811023622,"[[260   1   0]
 [  5 279   0]
 [  0   0  90]]"
97,30 Trees,0.988976377952756,"[[261   0   0]
 [  7 277   0]
 [  0   0  90]]"
98,30 Trees,0.984251968503937,"[[259   2   0]
 [  6 278   0]
 [  1   1  88]]"
99,30 Trees,0.9874015748031496,"[[259   2   0]
 [  5 279   0]
 [  1   0  89]]"
100,30 Trees,0.9921259842519685,"[[260   1   0]
 [  4 280   0]
 [  0   0  90]]"
101,30 Trees,0.9874015748031496,"[[258   3   0]
 [  5 279   0]
 [  0   0  90]]"
102,30 Trees,0.984251968503937,"[[260   1   0]
 [  8 276   0]
 [  1   0  89]]"
103,30 Trees,0.988976377952756,"[[259   2   0]
 [  5 279   0]
 [  0   0  90]]"
104,30 Trees,0.9826771653543307,"[[257   4   0]
 [  7 277   0]
 [  0   0  90]]"
105,30 Trees,0.9874015748031496,"[[259   2   0]
 [  5 279   0]
 [  1   0  89]]"
106,30 Trees,0.9858267716535433,"[[258   3   0]
 [  6 278   0]
 [  0   0  90]]"
107,30 Trees,0.9874015748031496,"[[259   2   0]
 [  6 278   0]
 [  0   0  90]]"
1,40 Trees,0.8409448818897638,"[[245  16   0]
 [ 33 240  11]
 [  0  41  49]]"
2,40 Trees,0.9133858267716536,"[[255   6   0]
 [ 34 239  11]
 [  0   4  86]]"
3,40 Trees,0.9307086614173228,"[[253   8   0]
 [ 19 253  12]
 [  0   5  85]]"
4,40 Trees,0.9574803149606299,"[[254   7   0]
 [ 14 265   5]
 [  0   1  89]]"
5,40 Trees,0.9543307086614173,"[[251  10   0]
 [ 12 266   6]
 [  0   1  89]]"
6,40 Trees,0.9622047244094488,"[[253   8   0]
 [ 11 268   5]
 [  0   0  90]]"
7,40 Trees,0.9590551181102362,"[[254   7   0]
 [ 15 265   4]
 [  0   0  90]]"
8,40 Trees,0.9606299212598425,"[[253   8   0]
 [ 13 267   4]
 [  0   0  90]]"
9,40 Trees,0.968503937007874,"[[254   7   0]
 [ 12 271   1]
 [  0   0  90]]"
10,40 Trees,0.9637795275590552,"[[254   7   0]
 [ 15 268   1]
 [  0   0  90]]"
11,40 Trees,0.9653543307086614,"[[252   9   0]
 [ 11 271   2]
 [  0   0  90]]"
12,40 Trees,0.9795275590551181,"[[256   5   0]
 [  7 276   1]
 [  0   0  90]]"
13,40 Trees,0.9811023622047244,"[[256   5   0]
 [  6 277   1]
 [  0   0  90]]"
14,40 Trees,0.9826771653543307,"[[257   4   0]
 [  5 278   1]
 [  0   1  89]]"
15,40 Trees,0.9811023622047244,"[[256   5   0]
 [  6 277   1]
 [  0   0  90]]"
16,40 Trees,0.9826771653543307,"[[257   4   0]
 [  5 277   2]
 [  0   0  90]]"
17,40 Trees,0.9826771653543307,"[[256   5   0]
 [  5 278   1]
 [  0   0  90]]"
18,40 Trees,0.9858267716535433,"[[257   4   0]
 [  4 279   1]
 [  0   0  90]]"
19,40 Trees,0.9858267716535433,"[[258   3   0]
 [  5 278   1]
 [  0   0  90]]"
20,40 Trees,0.988976377952756,"[[257   4   0]
 [  3 281   0]
 [  0   0  90]]"
21,40 Trees,0.984251968503937,"[[257   4   0]
 [  5 278   1]
 [  0   0  90]]"
22,40 Trees,0.9826771653543307,"[[258   3   0]
 [  7 276   1]
 [  0   0  90]]"
23,40 Trees,0.9858267716535433,"[[259   2   0]
 [  6 277   1]
 [  0   0  90]]"
24,40 Trees,0.984251968503937,"[[257   4   0]
 [  5 278   1]
 [  0   0  90]]"
25,40 Trees,0.9858267716535433,"[[259   2   0]
 [  6 277   1]
 [  0   0  90]]"
26,40 Trees,0.984251968503937,"[[259   2   0]
 [  7 276   1]
 [  0   0  90]]"
27,40 Trees,0.9795275590551181,"[[256   5   0]
 [  6 277   1]
 [  1   0  89]]"
28,40 Trees,0.9811023622047244,"[[256   5   0]
 [  6 277   1]
 [  0   0  90]]"
29,40 Trees,0.9858267716535433,"[[259   2   0]
 [  6 277   1]
 [  0   0  90]]"
30,40 Trees,0.9858267716535433,"[[257   4   0]
 [  5 279   0]
 [  0   0  90]]"
31,40 Trees,0.9874015748031496,"[[260   1   0]
 [  7 277   0]
 [  0   0  90]]"
32,40 Trees,0.988976377952756,"[[257   4   0]
 [  3 281   0]
 [  0   0  90]]"
33,40 Trees,0.9858267716535433,"[[258   3   0]
 [  5 278   1]
 [  0   0  90]]"
34,40 Trees,0.984251968503937,"[[258   3   0]
 [  7 277   0]
 [  0   0  90]]"
35,40 Trees,0.988976377952756,"[[259   2   0]
 [  5 279   0]
 [  0   0  90]]"
36,40 Trees,0.9905511811023622,"[[261   0   0]
 [  6 278   0]
 [  0   0  90]]"
37,40 Trees,0.988976377952756,"[[259   2   0]
 [  5 279   0]
 [  0   0  90]]"
38,40 Trees,0.988976377952756,"[[259   2   0]
 [  5 279   0]
 [  0   0  90]]"
39,40 Trees,0.984251968503937,"[[258   3   0]
 [  7 277   0]
 [  0   0  90]]"
40,40 Trees,0.9858267716535433,"[[259   2   0]
 [  6 277   1]
 [  0   0  90]]"
41,40 Trees,0.988976377952756,"[[259   2   0]
 [  5 279   0]
 [  0   0  90]]"
42,40 Trees,0.9921259842519685,"[[260   1   0]
 [  4 280   0]
 [  0   0  90]]"
43,40 Trees,0.9921259842519685,"[[260   1   0]
 [  3 280   1]
 [  0   0  90]]"
44,40 Trees,0.988976377952756,"[[259   2   0]
 [  4 279   1]
 [  0   0  90]]"
45,40 Trees,0.9874015748031496,"[[260   1   0]
 [  6 277   1]
 [  0   0  90]]"
46,40 Trees,0.988976377952756,"[[259   2   0]
 [  5 279   0]
 [  0   0  90]]"
47,40 Trees,0.9905511811023622,"[[258   3   0]
 [  3 281   0]
 [  0   0  90]]"
48,40 Trees,0.9905511811023622,"[[260   1   0]
 [  5 279   0]
 [  0   0  90]]"
49,40 Trees,0.9874015748031496,"[[259   2   0]
 [  6 278   0]
 [  0   0  90]]"
50,40 Trees,0.9905511811023622,"[[260   1   0]
 [  5 279   0]
 [  0   0  90]]"
51,40 Trees,0.9858267716535433,"[[258   3   0]
 [  5 278   1]
 [  0   0  90]]"
52,40 Trees,0.984251968503937,"[[259   2   0]
 [  8 276   0]
 [  0   0  90]]"
53,40 Trees,0.988976377952756,"[[259   2   0]
 [  5 279   0]
 [  0   0  90]]"
54,40 Trees,0.9858267716535433,"[[257   4   0]
 [  3 279   2]
 [  0   0  90]]"
55,40 Trees,0.9874015748031496,"[[260   1   0]
 [  6 278   0]
 [  1   0  89]]"
56,40 Trees,0.9937007874015747,"[[261   0   0]
 [  3 280   1]
 [  0   0  90]]"
57,40 Trees,0.9826771653543307,"[[258   3   0]
 [  8 276   0]
 [  0   0  90]]"
58,40 Trees,0.9937007874015747,"[[260   1   0]
 [  3 281   0]
 [  0   0  90]]"
59,40 Trees,0.9874015748031496,"[[260   1   0]
 [  7 277   0]
 [  0   0  90]]"
60,40 Trees,0.9937007874015747,"[[261   0   0]
 [  4 280   0]
 [  0   0  90]]"
61,40 Trees,0.988976377952756,"[[260   1   0]
 [  4 279   1]
 [  1   0  89]]"
62,40 Trees,0.9921259842519685,"[[261   0   0]
 [  5 279   0]
 [  0   0  90]]"
63,40 Trees,0.9858267716535433,"[[258   3   0]
 [  5 279   0]
 [  0   1  89]]"
64,40 Trees,0.988976377952756,"[[259   2   0]
 [  4 279   1]
 [  0   0  90]]"
65,40 Trees,0.9858267716535433,"[[259   2   0]
 [  7 277   0]
 [  0   0  90]]"
66,40 Trees,0.9858267716535433,"[[259   2   0]
 [  7 277   0]
 [  0   0  90]]"
67,40 Trees,0.9858267716535433,"[[259   2   0]
 [  6 277   1]
 [  0   0  90]]"
68,40 Trees,0.9905511811023622,"[[258   3   0]
 [  3 281   0]
 [  0   0  90]]"
69,40 Trees,0.9858267716535433,"[[260   1   0]
 [  7 277   0]
 [  0   1  89]]"
70,40 Trees,0.988976377952756,"[[258   3   0]
 [  4 280   0]
 [  0   0  90]]"
71,40 Trees,0.988976377952756,"[[260   1   0]
 [  6 278   0]
 [  0   0  90]]"
72,40 Trees,0.9858267716535433,"[[259   2   0]
 [  5 278   1]
 [  0   1  89]]"
73,40 Trees,0.9905511811023622,"[[260   1   0]
 [  5 279   0]
 [  0   0  90]]"
74,40 Trees,0.9921259842519685,"[[260   1   0]
 [  4 280   0]
 [  0   0  90]]"
75,40 Trees,0.9905511811023622,"[[260   1   0]
 [  5 279   0]
 [  0   0  90]]"
76,40 Trees,0.9826771653543307,"[[259   2   0]
 [  7 276   1]
 [  0   1  89]]"
77,40 Trees,0.988976377952756,"[[260   1   0]
 [  4 280   0]
 [  1   1  88]]"
78,40 Trees,0.9874015748031496,"[[260   1   0]
 [  6 278   0]
 [  0   1  89]]"
79,40 Trees,0.9905511811023622,"[[261   0   0]
 [  5 278   1]
 [  0   0  90]]"
80,40 Trees,0.9905511811023622,"[[260   1   0]
 [  5 279   0]
 [  0   0  90]]"
81,40 Trees,0.9921259842519685,"[[259   2   0]
 [  3 281   0]
 [  0   0  90]]"
82,40 Trees,0.9905511811023622,"[[259   2   0]
 [  4 280   0]
 [  0   0  90]]"
83,40 Trees,0.9874015748031496,"[[259   2   0]
 [  5 278   1]
 [  0   0  90]]"
84,40 Trees,0.988976377952756,"[[259   2   0]
 [  4 280   0]
 [  0   1  89]]"
85,40 Trees,0.988976377952756,"[[258   3   0]
 [  4 280   0]
 [  0   0  90]]"
86,40 Trees,0.9921259842519685,"[[260   1   0]
 [  4 280   0]
 [  0   0  90]]"
87,40 Trees,0.9905511811023622,"[[259   2   0]
 [  4 280   0]
 [  0   0  90]]"
88,40 Trees,0.984251968503937,"[[259   2   0]
 [  7 277   0]
 [  0   1  89]]"
89,40 Trees,0.9858267716535433,"[[260   1   0]
 [  8 276   0]
 [  0   0  90]]"
90,40 Trees,0.9858267716535433,"[[260   1   0]
 [  8 276   0]
 [  0   0  90]]"
91,40 Trees,0.9858267716535433,"[[260   1   0]
 [  7 276   1]
 [  0   0  90]]"
92,40 Trees,0.9937007874015747,"[[260   1   0]
 [  3 281   0]
 [  0   0  90]]"
93,40 Trees,0.9858267716535433,"[[259   2   0]
 [  7 277   0]
 [  0   0  90]]"
94,40 Trees,0.9921259842519685,"[[259   2   0]
 [  3 281   0]
 [  0   0  90]]"
95,40 Trees,0.9874015748031496,"[[260   1   0]
 [  7 277   0]
 [  0   0  90]]"
96,40 Trees,0.9921259842519685,"[[260   1   0]
 [  4 280   0]
 [  0   0  90]]"
97,40 Trees,0.988976377952756,"[[261   0   0]
 [  7 277   0]
 [  0   0  90]]"
98,40 Trees,0.9858267716535433,"[[259   2   0]
 [  6 278   0]
 [  0   1  89]]"
99,40 Trees,0.9874015748031496,"[[259   2   0]
 [  6 278   0]
 [  0   0  90]]"
100,40 Trees,0.988976377952756,"[[258   3   0]
 [  4 280   0]
 [  0   0  90]]"
101,40 Trees,0.9905511811023622,"[[260   1   0]
 [  5 279   0]
 [  0   0  90]]"
102,40 Trees,0.9858267716535433,"[[260   1   0]
 [  7 277   0]
 [  1   0  89]]"
103,40 Trees,0.988976377952756,"[[259   2   0]
 [  5 279   0]
 [  0   0  90]]"
104,40 Trees,0.9811023622047244,"[[257   4   0]
 [  8 276   0]
 [  0   0  90]]"
105,40 Trees,0.9905511811023622,"[[261   0   0]
 [  5 279   0]
 [  1   0  89]]"
106,40 Trees,0.9826771653543307,"[[257   4   0]
 [  6 277   1]
 [  0   0  90]]"
107,40 Trees,0.9858267716535433,"[[259   2   0]
 [  7 277   0]
 [  0   0  90]]"
1,50 Trees,0.8393700787401575,"[[245  16   0]
 [ 33 240  11]
 [  0  42  48]]"
2,50 Trees,0.9133858267716536,"[[255   6   0]
 [ 34 239  11]
 [  0   4  86]]"
3,50 Trees,0.9291338582677166,"[[251  10   0]
 [ 20 253  11]
 [  0   4  86]]"
4,50 Trees,0.9559055118110236,"[[255   6   0]
 [ 16 263   5]
 [  0   1  89]]"
5,50 Trees,0.9574803149606299,"[[252   9   0]
 [ 11 267   6]
 [  0   1  89]]"
6,50 Trees,0.9622047244094488,"[[253   8   0]
 [ 11 268   5]
 [  0   0  90]]"
7,50 Trees,0.9606299212598425,"[[254   7   0]
 [ 14 266   4]
 [  0   0  90]]"
8,50 Trees,0.9606299212598425,"[[253   8   0]
 [ 13 267   4]
 [  0   0  90]]"
9,50 Trees,0.9653543307086614,"[[253   8   0]
 [ 13 270   1]
 [  0   0  90]]"
10,50 Trees,0.9653543307086614,"[[254   7   0]
 [ 14 269   1]
 [  0   0  90]]"
11,50 Trees,0.9653543307086614,"[[252   9   0]
 [ 12 271   1]
 [  0   0  90]]"
12,50 Trees,0.9795275590551181,"[[256   5   0]
 [  7 276   1]
 [  0   0  90]]"
13,50 Trees,0.9779527559055118,"[[256   5   0]
 [  8 275   1]
 [  0   0  90]]"
14,50 Trees,0.9826771653543307,"[[257   4   0]
 [  5 278   1]
 [  0   1  89]]"
15,50 Trees,0.9811023622047244,"[[256   5   0]
 [  6 277   1]
 [  0   0  90]]"
16,50 Trees,0.984251968503937,"[[257   4   0]
 [  5 278   1]
 [  0   0  90]]"
17,50 Trees,0.9811023622047244,"[[255   6   0]
 [  5 278   1]
 [  0   0  90]]"
18,50 Trees,0.984251968503937,"[[257   4   0]
 [  5 278   1]
 [  0   0  90]]"
19,50 Trees,0.9858267716535433,"[[258   3   0]
 [  5 278   1]
 [  0   0  90]]"
20,50 Trees,0.988976377952756,"[[258   3   0]
 [  4 280   0]
 [  0   0  90]]"
21,50 Trees,0.984251968503937,"[[257   4   0]
 [  5 278   1]
 [  0   0  90]]"
22,50 Trees,0.984251968503937,"[[259   2   0]
 [  7 276   1]
 [  0   0  90]]"
23,50 Trees,0.9858267716535433,"[[259   2   0]
 [  6 277   1]
 [  0   0  90]]"
24,50 Trees,0.984251968503937,"[[257   4   0]
 [  5 278   1]
 [  0   0  90]]"
25,50 Trees,0.9874015748031496,"[[260   1   0]
 [  6 277   1]
 [  0   0  90]]"
26,50 Trees,0.9858267716535433,"[[259   2   0]
 [  6 277   1]
 [  0   0  90]]"
27,50 Trees,0.9811023622047244,"[[257   4   0]
 [  7 276   1]
 [  0   0  90]]"
28,50 Trees,0.9779527559055118,"[[255   6   0]
 [  7 276   1]
 [  0   0  90]]"
29,50 Trees,0.9858267716535433,"[[259   2   0]
 [  6 277   1]
 [  0   0  90]]"
30,50 Trees,0.9858267716535433,"[[257   4   0]
 [  5 279   0]
 [  0   0  90]]"
31,50 Trees,0.9874015748031496,"[[260   1   0]
 [  7 277   0]
 [  0   0  90]]"
32,50 Trees,0.988976377952756,"[[258   3   0]
 [  4 280   0]
 [  0   0  90]]"
33,50 Trees,0.9874015748031496,"[[259   2   0]
 [  5 278   1]
 [  0   0  90]]"
34,50 Trees,0.9858267716535433,"[[258   3   0]
 [  6 278   0]
 [  0   0  90]]"
35,50 Trees,0.9874015748031496,"[[259   2   0]
 [  6 278   0]
 [  0   0  90]]"
36,50 Trees,0.9905511811023622,"[[259   2   0]
 [  4 280   0]
 [  0   0  90]]"
37,50 Trees,0.9874015748031496,"[[259   2   0]
 [  6 278   0]
 [  0   0  90]]"
38,50 Trees,0.988976377952756,"[[259   2   0]
 [  5 279   0]
 [  0   0  90]]"
39,50 Trees,0.9874015748031496,"[[258   3   0]
 [  5 279   0]
 [  0   0  90]]"
40,50 Trees,0.9826771653543307,"[[258   3   0]
 [  6 276   2]
 [  0   0  90]]"
41,50 Trees,0.9874015748031496,"[[259   2   0]
 [  6 278   0]
 [  0   0  90]]"
42,50 Trees,0.9921259842519685,"[[260   1   0]
 [  4 280   0]
 [  0   0  90]]"
43,50 Trees,0.9905511811023622,"[[259   2   0]
 [  3 280   1]
 [  0   0  90]]"
44,50 Trees,0.9905511811023622,"[[259   2   0]
 [  4 280   0]
 [  0   0  90]]"
45,50 Trees,0.988976377952756,"[[260   1   0]
 [  6 278   0]
 [  0   0  90]]"
46,50 Trees,0.988976377952756,"[[259   2   0]
 [  5 279   0]
 [  0   0  90]]"
47,50 Trees,0.9905511811023622,"[[259   2   0]
 [  4 280   0]
 [  0   0  90]]"
48,50 Trees,0.9905511811023622,"[[260   1   0]
 [  5 279   0]
 [  0   0  90]]"
49,50 Trees,0.9874015748031496,"[[259   2   0]
 [  6 278   0]
 [  0   0  90]]"
50,50 Trees,0.988976377952756,"[[259   2   0]
 [  5 279   0]
 [  0   0  90]]"
51,50 Trees,0.984251968503937,"[[258   3   0]
 [  6 277   1]
 [  0   0  90]]"
52,50 Trees,0.984251968503937,"[[259   2   0]
 [  8 276   0]
 [  0   0  90]]"
53,50 Trees,0.9874015748031496,"[[259   2   0]
 [  6 278   0]
 [  0   0  90]]"
54,50 Trees,0.9874015748031496,"[[258   3   0]
 [  3 279   2]
 [  0   0  90]]"
55,50 Trees,0.9874015748031496,"[[260   1   0]
 [  7 277   0]
 [  0   0  90]]"
56,50 Trees,0.9921259842519685,"[[261   0   0]
 [  4 279   1]
 [  0   0  90]]"
57,50 Trees,0.9826771653543307,"[[258   3   0]
 [  8 276   0]
 [  0   0  90]]"
58,50 Trees,0.9905511811023622,"[[259   2   0]
 [  4 280   0]
 [  0   0  90]]"
59,50 Trees,0.9858267716535433,"[[260   1   0]
 [  7 276   1]
 [  0   0  90]]"
60,50 Trees,0.9921259842519685,"[[260   1   0]
 [  4 280   0]
 [  0   0  90]]"
61,50 Trees,0.9874015748031496,"[[260   1   0]
 [  5 278   1]
 [  1   0  89]]"
62,50 Trees,0.9905511811023622,"[[261   0   0]
 [  6 278   0]
 [  0   0  90]]"
63,50 Trees,0.988976377952756,"[[259   2   0]
 [  4 280   0]
 [  0   1  89]]"
64,50 Trees,0.988976377952756,"[[259   2   0]
 [  4 279   1]
 [  0   0  90]]"
65,50 Trees,0.9858267716535433,"[[260   1   0]
 [  8 276   0]
 [  0   0  90]]"
66,50 Trees,0.9874015748031496,"[[259   2   0]
 [  6 278   0]
 [  0   0  90]]"
67,50 Trees,0.9858267716535433,"[[259   2   0]
 [  6 277   1]
 [  0   0  90]]"
68,50 Trees,0.9905511811023622,"[[258   3   0]
 [  3 281   0]
 [  0   0  90]]"
69,50 Trees,0.9874015748031496,"[[260   1   0]
 [  7 277   0]
 [  0   0  90]]"
70,50 Trees,0.988976377952756,"[[258   3   0]
 [  4 280   0]
 [  0   0  90]]"
71,50 Trees,0.9874015748031496,"[[260   1   0]
 [  7 277   0]
 [  0   0  90]]"
72,50 Trees,0.984251968503937,"[[259   2   0]
 [  5 278   1]
 [  1   1  88]]"
73,50 Trees,0.9921259842519685,"[[260   1   0]
 [  4 280   0]
 [  0   0  90]]"
74,50 Trees,0.9937007874015747,"[[260   1   0]
 [  3 281   0]
 [  0   0  90]]"
75,50 Trees,0.9905511811023622,"[[260   1   0]
 [  5 279   0]
 [  0   0  90]]"
76,50 Trees,0.9858267716535433,"[[259   2   0]
 [  7 277   0]
 [  0   0  90]]"
77,50 Trees,0.988976377952756,"[[260   1   0]
 [  5 279   0]
 [  0   1  89]]"
78,50 Trees,0.9921259842519685,"[[260   1   0]
 [  4 280   0]
 [  0   0  90]]"
79,50 Trees,0.988976377952756,"[[261   0   0]
 [  6 277   1]
 [  0   0  90]]"
80,50 Trees,0.9874015748031496,"[[260   1   0]
 [  7 277   0]
 [  0   0  90]]"
81,50 Trees,0.9921259842519685,"[[259   2   0]
 [  3 281   0]
 [  0   0  90]]"
82,50 Trees,0.988976377952756,"[[259   2   0]
 [  5 279   0]
 [  0   0  90]]"
83,50 Trees,0.9874015748031496,"[[259   2   0]
 [  5 278   1]
 [  0   0  90]]"
84,50 Trees,0.9921259842519685,"[[261   0   0]
 [  5 279   0]
 [  0   0  90]]"
85,50 Trees,0.988976377952756,"[[259   2   0]
 [  4 280   0]
 [  1   0  89]]"
86,50 Trees,0.988976377952756,"[[260   1   0]
 [  5 279   0]
 [  1   0  89]]"
87,50 Trees,0.9874015748031496,"[[259   2   0]
 [  6 278   0]
 [  0   0  90]]"
88,50 Trees,0.9858267716535433,"[[259   2   0]
 [  7 277   0]
 [  0   0  90]]"
89,50 Trees,0.9858267716535433,"[[260   1   0]
 [  8 276   0]
 [  0   0  90]]"
90,50 Trees,0.9874015748031496,"[[260   1   0]
 [  7 277   0]
 [  0   0  90]]"
91,50 Trees,0.9858267716535433,"[[259   2   0]
 [  7 277   0]
 [  0   0  90]]"
92,50 Trees,0.9921259842519685,"[[260   1   0]
 [  4 280   0]
 [  0   0  90]]"
93,50 Trees,0.9905511811023622,"[[260   1   0]
 [  5 279   0]
 [  0   0  90]]"
94,50 Trees,0.9921259842519685,"[[259   2   0]
 [  3 281   0]
 [  0   0  90]]"
95,50 Trees,0.9858267716535433,"[[260   1   0]
 [  8 276   0]
 [  0   0  90]]"
96,50 Trees,0.9921259842519685,"[[260   1   0]
 [  4 280   0]
 [  0   0  90]]"
97,50 Trees,0.9874015748031496,"[[261   0   0]
 [  8 276   0]
 [  0   0  90]]"
98,50 Trees,0.9858267716535433,"[[259   2   0]
 [  6 278   0]
 [  0   1  89]]"
99,50 Trees,0.9905511811023622,"[[259   2   0]
 [  4 280   0]
 [  0   0  90]]"
100,50 Trees,0.9905511811023622,"[[259   2   0]
 [  4 280   0]
 [  0   0  90]]"
101,50 Trees,0.988976377952756,"[[259   2   0]
 [  5 279   0]
 [  0   0  90]]"
102,50 Trees,0.984251968503937,"[[260   1   0]
 [  8 276   0]
 [  1   0  89]]"
103,50 Trees,0.9858267716535433,"[[259   2   0]
 [  7 277   0]
 [  0   0  90]]"
104,50 Trees,0.9811023622047244,"[[257   4   0]
 [  8 276   0]
 [  0   0  90]]"
105,50 Trees,0.9905511811023622,"[[261   0   0]
 [  5 279   0]
 [  1   0  89]]"
106,50 Trees,0.984251968503937,"[[257   4   0]
 [  6 278   0]
 [  0   0  90]]"
107,50 Trees,0.9874015748031496,"[[259   2   0]
 [  6 278   0]
 [  0   0  90]]"
1,60 Trees,0.84251968503937,"[[245  16   0]
 [ 33 239  12]
 [  0  39  51]]"
2,60 Trees,0.9118110236220472,"[[254   7   0]
 [ 34 239  11]
 [  0   4  86]]"
3,60 Trees,0.9291338582677166,"[[253   8   0]
 [ 21 252  11]
 [  0   5  85]]"
4,60 Trees,0.952755905511811,"[[253   8   0]
 [ 16 263   5]
 [  0   1  89]]"
5,60 Trees,0.9574803149606299,"[[253   8   0]
 [ 12 266   6]
 [  0   1  89]]"
6,60 Trees,0.9622047244094488,"[[253   8   0]
 [ 11 268   5]
 [  0   0  90]]"
7,60 Trees,0.9622047244094488,"[[254   7   0]
 [ 13 267   4]
 [  0   0  90]]"
8,60 Trees,0.9590551181102362,"[[252   9   0]
 [ 13 267   4]
 [  0   0  90]]"
9,60 Trees,0.9637795275590552,"[[253   8   0]
 [ 13 269   2]
 [  0   0  90]]"
10,60 Trees,0.9653543307086614,"[[254   7   0]
 [ 13 269   2]
 [  0   0  90]]"
11,60 Trees,0.9653543307086614,"[[252   9   0]
 [ 12 271   1]
 [  0   0  90]]"
12,60 Trees,0.9795275590551181,"[[256   5   0]
 [  7 276   1]
 [  0   0  90]]"
13,60 Trees,0.9763779527559056,"[[255   6   0]
 [  8 275   1]
 [  0   0  90]]"
14,60 Trees,0.984251968503937,"[[257   4   0]
 [  5 278   1]
 [  0   0  90]]"
15,60 Trees,0.9874015748031496,"[[258   3   0]
 [  4 279   1]
 [  0   0  90]]"
16,60 Trees,0.9826771653543307,"[[257   4   0]
 [  5 277   2]
 [  0   0  90]]"
17,60 Trees,0.9811023622047244,"[[255   6   0]
 [  5 278   1]
 [  0   0  90]]"
18,60 Trees,0.984251968503937,"[[257   4   0]
 [  5 278   1]
 [  0   0  90]]"
19,60 Trees,0.9858267716535433,"[[258   3   0]
 [  5 278   1]
 [  0   0  90]]"
20,60 Trees,0.988976377952756,"[[258   3   0]
 [  4 280   0]
 [  0   0  90]]"
21,60 Trees,0.984251968503937,"[[257   4   0]
 [  5 278   1]
 [  0   0  90]]"
22,60 Trees,0.984251968503937,"[[259   2   0]
 [  7 276   1]
 [  0   0  90]]"
23,60 Trees,0.9858267716535433,"[[259   2   0]
 [  6 277   1]
 [  0   0  90]]"
24,60 Trees,0.984251968503937,"[[257   4   0]
 [  5 278   1]
 [  0   0  90]]"
25,60 Trees,0.9874015748031496,"[[259   2   0]
 [  5 278   1]
 [  0   0  90]]"
26,60 Trees,0.9858267716535433,"[[259   2   0]
 [  6 277   1]
 [  0   0  90]]"
27,60 Trees,0.9811023622047244,"[[257   4   0]
 [  7 276   1]
 [  0   0  90]]"
28,60 Trees,0.9811023622047244,"[[257   4   0]
 [  7 276   1]
 [  0   0  90]]"
29,60 Trees,0.984251968503937,"[[258   3   0]
 [  6 277   1]
 [  0   0  90]]"
30,60 Trees,0.9858267716535433,"[[257   4   0]
 [  5 279   0]
 [  0   0  90]]"
31,60 Trees,0.988976377952756,"[[260   1   0]
 [  6 278   0]
 [  0   0  90]]"
32,60 Trees,0.988976377952756,"[[259   2   0]
 [  5 279   0]
 [  0   0  90]]"
33,60 Trees,0.9874015748031496,"[[258   3   0]
 [  5 279   0]
 [  0   0  90]]"
34,60 Trees,0.984251968503937,"[[258   3   0]
 [  7 277   0]
 [  0   0  90]]"
35,60 Trees,0.988976377952756,"[[260   1   0]
 [  6 278   0]
 [  0   0  90]]"
