number_of_features,features,accuracy_score,rmse
11,"['amplitude__kurtosis', 'amplitude__ratio_beyond_r_sigma__r_3', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_9', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_3', 'amplitude__ratio_beyond_r_sigma__r_0.5', 'amplitude__binned_entropy__max_bins_10', 'amplitude__ratio_beyond_r_sigma__r_1', 'amplitude__lempel_ziv_complexity__bins_5', 'amplitude__ratio_beyond_r_sigma__r_2.5', 'amplitude__fft_aggregated__aggtype_""kurtosis""', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_7']",0.9653543307086614,0.1861334717114001
12,"['amplitude__kurtosis', 'amplitude__ratio_beyond_r_sigma__r_3', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_9', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_3', 'amplitude__ratio_beyond_r_sigma__r_0.5', 'amplitude__binned_entropy__max_bins_10', 'amplitude__ratio_beyond_r_sigma__r_1', 'amplitude__lempel_ziv_complexity__bins_5', 'amplitude__ratio_beyond_r_sigma__r_2.5', 'amplitude__fft_aggregated__aggtype_""kurtosis""', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_7', 'amplitude__spkt_welch_density__coeff_2']",0.9795275590551181,0.14308193787086437
13,"['amplitude__kurtosis', 'amplitude__ratio_beyond_r_sigma__r_3', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_9', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_3', 'amplitude__ratio_beyond_r_sigma__r_0.5', 'amplitude__binned_entropy__max_bins_10', 'amplitude__ratio_beyond_r_sigma__r_1', 'amplitude__lempel_ziv_complexity__bins_5', 'amplitude__ratio_beyond_r_sigma__r_2.5', 'amplitude__fft_aggregated__aggtype_""kurtosis""', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_7', 'amplitude__spkt_welch_density__coeff_2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_8']",0.9826771653543307,0.13161624005292544
14,"['amplitude__kurtosis', 'amplitude__ratio_beyond_r_sigma__r_3', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_9', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_3', 'amplitude__ratio_beyond_r_sigma__r_0.5', 'amplitude__binned_entropy__max_bins_10', 'amplitude__ratio_beyond_r_sigma__r_1', 'amplitude__lempel_ziv_complexity__bins_5', 'amplitude__ratio_beyond_r_sigma__r_2.5', 'amplitude__fft_aggregated__aggtype_""kurtosis""', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_7', 'amplitude__spkt_welch_density__coeff_2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_8', 'amplitude__autocorrelation__lag_4']",0.984251968503937,0.12549116102763172
15,"['amplitude__kurtosis', 'amplitude__ratio_beyond_r_sigma__r_3', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_9', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_3', 'amplitude__ratio_beyond_r_sigma__r_0.5', 'amplitude__binned_entropy__max_bins_10', 'amplitude__ratio_beyond_r_sigma__r_1', 'amplitude__lempel_ziv_complexity__bins_5', 'amplitude__ratio_beyond_r_sigma__r_2.5', 'amplitude__fft_aggregated__aggtype_""kurtosis""', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_7', 'amplitude__spkt_welch_density__coeff_2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_8', 'amplitude__autocorrelation__lag_4', 'amplitude__large_standard_deviation__r_0.1']",0.984251968503937,0.12549116102763172
16,"['amplitude__kurtosis', 'amplitude__ratio_beyond_r_sigma__r_3', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_9', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_3', 'amplitude__ratio_beyond_r_sigma__r_0.5', 'amplitude__binned_entropy__max_bins_10', 'amplitude__ratio_beyond_r_sigma__r_1', 'amplitude__lempel_ziv_complexity__bins_5', 'amplitude__ratio_beyond_r_sigma__r_2.5', 'amplitude__fft_aggregated__aggtype_""kurtosis""', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_7', 'amplitude__spkt_welch_density__coeff_2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_8', 'amplitude__autocorrelation__lag_4', 'amplitude__large_standard_deviation__r_0.1', 'amplitude__ratio_beyond_r_sigma__r_5']",0.984251968503937,0.12549116102763172
17,"['amplitude__kurtosis', 'amplitude__ratio_beyond_r_sigma__r_3', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_9', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_3', 'amplitude__ratio_beyond_r_sigma__r_0.5', 'amplitude__binned_entropy__max_bins_10', 'amplitude__ratio_beyond_r_sigma__r_1', 'amplitude__lempel_ziv_complexity__bins_5', 'amplitude__ratio_beyond_r_sigma__r_2.5', 'amplitude__fft_aggregated__aggtype_""kurtosis""', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_7', 'amplitude__spkt_welch_density__coeff_2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_8', 'amplitude__autocorrelation__lag_4', 'amplitude__large_standard_deviation__r_0.1', 'amplitude__ratio_beyond_r_sigma__r_5', 'amplitude__large_standard_deviation__r_0.2']",0.984251968503937,0.12549116102763172
18,"['amplitude__kurtosis', 'amplitude__ratio_beyond_r_sigma__r_3', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_9', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_3', 'amplitude__ratio_beyond_r_sigma__r_0.5', 'amplitude__binned_entropy__max_bins_10', 'amplitude__ratio_beyond_r_sigma__r_1', 'amplitude__lempel_ziv_complexity__bins_5', 'amplitude__ratio_beyond_r_sigma__r_2.5', 'amplitude__fft_aggregated__aggtype_""kurtosis""', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_7', 'amplitude__spkt_welch_density__coeff_2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_8', 'amplitude__autocorrelation__lag_4', 'amplitude__large_standard_deviation__r_0.1', 'amplitude__ratio_beyond_r_sigma__r_5', 'amplitude__large_standard_deviation__r_0.2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_0']",0.9826771653543307,0.13161624005292544
19,"['amplitude__kurtosis', 'amplitude__ratio_beyond_r_sigma__r_3', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_9', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_3', 'amplitude__ratio_beyond_r_sigma__r_0.5', 'amplitude__binned_entropy__max_bins_10', 'amplitude__ratio_beyond_r_sigma__r_1', 'amplitude__lempel_ziv_complexity__bins_5', 'amplitude__ratio_beyond_r_sigma__r_2.5', 'amplitude__fft_aggregated__aggtype_""kurtosis""', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_7', 'amplitude__spkt_welch_density__coeff_2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_8', 'amplitude__autocorrelation__lag_4', 'amplitude__large_standard_deviation__r_0.1', 'amplitude__ratio_beyond_r_sigma__r_5', 'amplitude__large_standard_deviation__r_0.2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_0', 'amplitude__fft_coefficient__attr_""abs""__coeff_94']",0.9874015748031496,0.11224270665326275
20,"['amplitude__kurtosis', 'amplitude__ratio_beyond_r_sigma__r_3', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_9', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_3', 'amplitude__ratio_beyond_r_sigma__r_0.5', 'amplitude__binned_entropy__max_bins_10', 'amplitude__ratio_beyond_r_sigma__r_1', 'amplitude__lempel_ziv_complexity__bins_5', 'amplitude__ratio_beyond_r_sigma__r_2.5', 'amplitude__fft_aggregated__aggtype_""kurtosis""', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_7', 'amplitude__spkt_welch_density__coeff_2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_8', 'amplitude__autocorrelation__lag_4', 'amplitude__large_standard_deviation__r_0.1', 'amplitude__ratio_beyond_r_sigma__r_5', 'amplitude__large_standard_deviation__r_0.2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_0', 'amplitude__fft_coefficient__attr_""abs""__coeff_94', 'amplitude__index_mass_quantile__q_0.1']",0.9874015748031496,0.11224270665326275
